slam_name,surface,round_num,best_of,rank,opp_rank,rank_ratio,log_rank_diff,is_underdog,rank_bin,ctfi,upset,surface_Clay,surface_Grass,surface_Hard
US Open,Hard,3.0,5,1.0,116.0,0.008620689655172414,-4.7535901911063645,0,top10,0,0,0,0,1
US Open,Hard,3.0,5,116.0,1.0,116.0,4.7535901911063645,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,88.0,61.0,1.4426229508196722,3.332204510175204,1,top100,0,1,0,0,1
US Open,Hard,3.0,5,61.0,88.0,0.6931818181818182,-3.332204510175204,0,top100,0,1,0,0,1
US Open,Hard,3.0,5,92.0,212.0,0.4339622641509434,-4.795790545596741,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,212.0,92.0,2.3043478260869565,4.795790545596741,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,33.0,103.0,0.32038834951456313,-4.2626798770413155,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,103.0,33.0,3.121212121212121,4.2626798770413155,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,21.0,118.0,0.17796610169491525,-4.584967478670572,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,118.0,21.0,5.619047619047619,4.584967478670572,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,79.0,259.0,0.305019305019305,-5.198497031265826,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,259.0,79.0,3.278481012658228,5.198497031265826,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,42.0,52.0,0.8076923076923077,-2.3978952727983707,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,52.0,42.0,1.2380952380952381,2.3978952727983707,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,16.0,40.0,0.4,-3.2188758248682006,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,40.0,16.0,2.5,3.2188758248682006,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,14.0,123.0,0.11382113821138211,-4.700480365792417,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,123.0,14.0,8.785714285714286,4.700480365792417,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,36.0,80.0,0.45,-3.8066624897703196,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,80.0,36.0,2.2222222222222223,3.8066624897703196,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,44.0,146.0,0.3013698630136986,-4.634728988229636,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,146.0,44.0,3.3181818181818183,4.634728988229636,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,19.0,117.0,0.1623931623931624,-4.59511985013459,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,117.0,19.0,6.157894736842105,4.59511985013459,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,41.0,25.0,1.64,2.833213344056216,1,top100,0,1,0,0,1
US Open,Hard,3.0,5,25.0,41.0,0.6097560975609756,-2.833213344056216,0,top30,0,1,0,0,1
US Open,Hard,3.0,5,87.0,187.0,0.46524064171123,-4.61512051684126,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,187.0,87.0,2.1494252873563218,4.61512051684126,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,56.0,183.0,0.30601092896174864,-4.852030263919617,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,183.0,56.0,3.267857142857143,4.852030263919617,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,8.0,144.0,0.05555555555555555,-4.919980925828125,0,top10,0,0,0,0,1
US Open,Hard,3.0,5,144.0,8.0,18.0,4.919980925828125,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,4.0,100.0,0.04,-4.574710978503383,0,top10,0,0,0,0,1
US Open,Hard,3.0,5,100.0,4.0,25.0,4.574710978503383,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,194.0,43.0,4.511627906976744,5.0238805208462765,1,outside100,0,1,0,0,1
US Open,Hard,3.0,5,43.0,194.0,0.22164948453608246,-5.0238805208462765,0,top100,0,1,0,0,1
US Open,Hard,3.0,5,72.0,73.0,0.9863013698630136,-0.6931471805599453,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,73.0,72.0,1.0138888888888888,0.6931471805599453,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,142.0,29.0,4.896551724137931,4.736198448394496,1,outside100,0,1,0,0,1
US Open,Hard,3.0,5,29.0,142.0,0.20422535211267606,-4.736198448394496,0,top30,0,1,0,0,1
US Open,Hard,3.0,5,64.0,23.0,2.782608695652174,3.7376696182833684,1,top100,0,1,0,0,1
US Open,Hard,3.0,5,23.0,64.0,0.359375,-3.7376696182833684,0,top30,0,1,0,0,1
US Open,Hard,3.0,5,60.0,35.0,1.7142857142857142,3.258096538021482,1,top100,0,1,0,0,1
US Open,Hard,3.0,5,35.0,60.0,0.5833333333333334,-3.258096538021482,0,top100,0,1,0,0,1
US Open,Hard,3.0,5,37.0,96.0,0.3854166666666667,-4.0943445622221,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,96.0,37.0,2.5945945945945947,4.0943445622221,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,107.0,18.0,5.944444444444445,4.499809670330265,1,outside100,0,1,0,0,1
US Open,Hard,3.0,5,18.0,107.0,0.16822429906542055,-4.499809670330265,0,top30,0,1,0,0,1
US Open,Hard,3.0,5,10.0,65.0,0.15384615384615385,-4.02535169073515,0,top10,0,0,0,0,1
US Open,Hard,3.0,5,65.0,10.0,6.5,4.02535169073515,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,71.0,68.0,1.0441176470588236,1.3862943611198906,1,top100,0,1,0,0,1
US Open,Hard,3.0,5,68.0,71.0,0.9577464788732394,-1.3862943611198906,0,top100,0,1,0,0,1
US Open,Hard,3.0,5,58.0,132.0,0.4393939393939394,-4.31748811353631,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,132.0,58.0,2.2758620689655173,4.31748811353631,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,20.0,83.0,0.24096385542168675,-4.1588830833596715,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,83.0,20.0,4.15,4.1588830833596715,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,32.0,201.0,0.15920398009950248,-5.135798437050262,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,201.0,32.0,6.28125,5.135798437050262,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,38.0,192.0,0.19791666666666666,-5.043425116919247,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,192.0,38.0,5.052631578947368,5.043425116919247,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,86.0,115.0,0.7478260869565218,-3.4011973816621555,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,115.0,86.0,1.3372093023255813,3.4011973816621555,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,5.0,69.0,0.07246376811594203,-4.174387269895637,0,top10,0,0,0,0,1
US Open,Hard,3.0,5,69.0,5.0,13.8,4.174387269895637,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,7.0,101.0,0.06930693069306931,-4.553876891600541,0,top10,0,0,0,0,1
US Open,Hard,3.0,5,101.0,7.0,14.428571428571429,4.553876891600541,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,108.0,77.0,1.4025974025974026,3.4657359027997265,1,outside100,0,1,0,0,1
US Open,Hard,3.0,5,77.0,108.0,0.7129629629629629,-3.4657359027997265,0,top100,0,1,0,0,1
US Open,Hard,3.0,5,54.0,39.0,1.3846153846153846,2.772588722239781,1,top100,0,1,0,0,1
US Open,Hard,3.0,5,39.0,54.0,0.7222222222222222,-2.772588722239781,0,top100,0,1,0,0,1
US Open,Hard,3.0,5,26.0,151.0,0.17218543046357615,-4.836281906951478,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,151.0,26.0,5.8076923076923075,4.836281906951478,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,24.0,93.0,0.25806451612903225,-4.248495242049359,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,93.0,24.0,3.875,4.248495242049359,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,66.0,95.0,0.6947368421052632,-3.4011973816621555,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,95.0,66.0,1.4393939393939394,3.4011973816621555,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,82.0,97.0,0.845360824742268,-2.772588722239781,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,97.0,82.0,1.1829268292682926,2.772588722239781,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,147.0,13.0,11.307692307692308,4.90527477843843,1,outside100,0,1,0,0,1
US Open,Hard,3.0,5,13.0,147.0,0.08843537414965986,-4.90527477843843,0,top30,0,1,0,0,1
US Open,Hard,3.0,5,15.0,59.0,0.2542372881355932,-3.8066624897703196,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,59.0,15.0,3.933333333333333,3.8066624897703196,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,85.0,84.0,1.0119047619047619,0.6931471805599453,1,top100,0,1,0,0,1
US Open,Hard,3.0,5,84.0,85.0,0.9882352941176471,-0.6931471805599453,0,top100,0,1,0,0,1
US Open,Hard,3.0,5,120.0,102.0,1.1764705882352942,2.9444389791664403,1,outside100,0,1,0,0,1
US Open,Hard,3.0,5,102.0,120.0,0.85,-2.9444389791664403,0,outside100,0,1,0,0,1
US Open,Hard,3.0,5,28.0,70.0,0.4,-3.7612001156935624,0,top30,0,0,0,0,1
US Open,Hard,3.0,5,70.0,28.0,2.5,3.7612001156935624,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,30.0,94.0,0.3191489361702128,-4.174387269895637,0,top30,0,0,0,0,1
