sentiment_label,sentiment_score,sentiment_polarity,fatigue_total,fatigue_word_density,fatigue_physical,fatigue_mental,fatigue_schedule,fatigue_injury,fatigue_motivation,avg_sentence_len,type_token_ratio,first_person_rate,negation_rate,word_count,llm_fatigue_label,llm_fatigue_confidence,llm_reason,nlp_processed
POSITIVE,0.044753700494766235,0.0448,0,0.0,0,0,0,0,0,14.41,0.2616,0.0662,0.0064,1556,,,,1
POSITIVE,0.9987397789955139,0.9987,2,1.25,0,0,0,2,0,10.47,0.6433,0.0701,0.0064,157,,,,1
POSITIVE,0.49043577909469604,0.4904,0,0.0,0,0,0,0,0,9.68,0.2902,0.0638,0.0108,1113,,,,1
POSITIVE,0.9976962208747864,0.9977,0,0.0,0,0,0,0,0,10.32,0.5663,0.0765,0.0102,196,,,,1
POSITIVE,0.9973176419734955,0.9973,0,0.0,0,0,0,0,0,10.81,0.3876,0.0702,0.0,627,,,,1
NEGATIVE,0.8231596946716309,-0.8232,0,0.0,0,0,0,0,0,7.48,0.4713,0.0892,0.0127,157,,,,1
POSITIVE,0.4682600647211075,0.4683,4,0.2001,0,0,0,0,4,11.27,0.248,0.0958,0.0091,1984,,,,1
POSITIVE,0.9956513047218323,0.9957,2,0.311,2,0,0,0,0,9.64,0.3679,0.055,0.0047,636,,,,1
POSITIVE,0.006486237049102783,0.0065,6,0.4886,0,0,6,0,0,12.69,0.2734,0.0649,0.0123,1218,,,,1
NEGATIVE,0.993255615234375,-0.9933,1,0.8333,0,0,1,0,0,10.91,0.5333,0.15,0.0,120,,,,1
POSITIVE,0.18522590398788452,0.1852,9,0.7506,1,0,0,3,5,11.42,0.2795,0.048,0.0168,1188,,,,1
POSITIVE,0.999606192111969,0.9996,0,0.0,0,0,0,0,0,8.5,0.5588,0.0706,0.0,170,,,,1
POSITIVE,0.5003599226474762,0.5004,0,0.0,0,0,0,0,0,13.51,0.3124,0.057,0.0033,1229,,,,1
POSITIVE,0.9965789914131165,0.9966,1,0.3788,1,0,0,0,0,13.84,0.5247,0.0722,0.0266,263,,,,1
